HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
0	5	2.15	3.4	3.75	0	1	-1	1	1	2
2	1	1.73	4	5	0	0	0	1	0	1
5	0	1.33	5.75	10	2	0	2	3	0	1
4	1	2.38	3.4	3.25	2	1	1	3	2	1
1	4	9	5	1.4	0	0	0	0	0	2
3	3	1.8	3.75	5	1	1	0	1	1	2
1	0	4.5	3.8	1.85	0	0	0	0	1	3
0	0	2.15	3.5	3.6	0	0	0	1	0	1
4	3	3.2	3.6	2.3	0	0	0	0	3	3
1	1	2.25	3.6	3.25	2	1	1	2	1	1
1	2	2.8	3.3	2.75	1	0	1	1	1	2
4	1	2.1	3.4	4	0	1	-1	0	1	3
3	2	3.8	3.6	2.05	1	1	0	1	3	3
1	1	1.45	4.5	8.5	1	1	0	2	1	1
4	0	1.73	3.8	5.5	0	0	0	2	0	1
3	3	2.5	3.4	3	1	2	-1	1	2	3
5	3	1.8	3.75	5	0	0	0	1	0	1
0	2	1.4	5	9	2	0	2	3	0	1
4	2	1.53	4.33	7	1	0	1	1	1	2
1	0	7.5	4.5	1.5	1	2	-1	1	4	3
2	2	2.45	3.3	3.2	0	0	0	0	0	2
3	2	1.5	4.5	7.5	0	0	0	0	0	2
6	1	1.5	4.75	7	1	0	1	1	0	1
0	2	7	4.33	1.53	0	0	0	2	1	1
1	8	2.05	3.5	4	0	0	0	2	0	1
2	3	4	3.6	2	3	0	3	3	2	1
1	7	1.6	4.2	6	0	0	0	0	0	2
1	1	2.4	3.4	3.2	1	1	0	2	1	1
4	0	2.35	3.4	3.25	1	1	0	3	1	1
2	0	2.8	3.4	2.7	1	1	0	1	2	3
8	2	1.44	4.75	8	1	0	1	4	1	1
1	1	5.5	3.75	1.73	0	0	0	1	0	1
2	2	1.18	8	18	1	0	1	2	0	1
5	3	2.6	3.25	3	1	1	0	1	1	2
4	0	7	4.75	1.5	0	1	-1	0	1	3
1	2	2.95	3.4	2.55	1	1	0	1	1	2
1	2	2.15	3.4	3.8	0	0	0	1	0	1
1	4	1.8	3.8	4.75	2	0	2	3	0	1
2	2	2.5	3.4	3	0	1	-1	1	2	3
1	3	1.45	4.5	8.5	2	0	2	3	1	1
0	2	6.25	4	1.62	1	0	1	1	1	2
2	3	3.1	3.3	2.5	0	1	-1	0	1	3
3	4	1.29	6	12	0	0	0	3	0	1
1	5	2.45	3.3	3.2	1	2	-1	3	2	1
2	4	2.45	3.5	3	1	0	1	3	0	1
2	2	1.5	4.5	7.5	2	1	1	2	1	1
6	2	1.75	3.9	5	1	0	1	2	0	1
3	2	2.8	3.5	2.6	1	1	0	2	2	2
2	1	2.05	3.5	4	0	0	0	0	1	3
3	3	6.25	4	1.62	0	1	-1	0	2	3
5	1	1.29	6	13	1	0	1	2	1	1
2	1	4.75	3.8	1.8	0	0	0	0	1	3
5	1	1.33	5.75	10	1	0	1	2	0	1
5	2	3.75	3.4	2.15	0	1	-1	1	3	3
5	1	1.83	3.6	5	0	1	-1	0	1	3
3	1	3.8	3.6	2.05	0	1	-1	1	2	3
1	3	1.4	5	9	2	0	2	3	1	1
6	0	2.05	3.4	4.2	1	1	0	1	3	3
2	0	1.75	3.75	5.25	1	0	1	1	0	1
5	1	6.5	4.5	1.53	0	3	-3	1	3	3
