HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
3	3	2.4	3.3	3.25	0	0	0	0	1	3
2	2	2	3.3	4.5	0	0	0	0	1	3
2	1	3.2	3.4	2.4	1	0	1	1	1	2
3	2	4.5	3.6	1.91	1	0	1	2	1	1
2	3	1.25	6.5	15	1	0	1	2	1	1
5	4	2.38	3.2	3.4	1	0	1	1	1	2
1	0	1.8	3.75	5	0	1	-1	1	1	2
3	0	2.4	3.5	3.1	1	1	0	3	4	3
0	2	4.75	3.6	1.85	0	1	-1	1	3	3
3	0	1.65	4	6	0	0	0	2	1	1
3	0	1.53	4.2	7.5	1	0	1	2	0	1
0	5	6.5	4.2	1.57	2	0	2	2	0	1
1	4	2.88	3.6	2.5	0	0	0	0	0	2
3	4	5.5	3.8	1.73	0	2	-2	1	4	3
3	0	1.8	3.6	5.25	0	0	0	0	2	3
8	2	1.45	4.75	8	0	0	0	1	0	1
0	3	5.5	3.8	1.73	0	0	0	1	2	3
3	1	3	3.25	2.6	1	1	0	1	2	3
3	1	2.55	3.2	3.1	0	2	-2	1	2	3
0	2	1.95	3.75	4	0	0	0	1	0	1
5	0	1.25	5.5	15	2	0	2	3	0	1
2	4	2.3	3.2	3.3	0	1	-1	1	1	2
5	0	1.73	3.6	5.25	0	0	0	1	0	1
0	1	8	4.1	1.44	0	0	0	0	1	3
2	2	1.73	3.6	5.25	1	0	1	2	1	1
1	3	1.57	3.6	6.5	0	0	0	1	1	2
2	1	2.38	3.4	3	0	1	-1	1	1	2
1	1	5	3.75	1.73	0	3	-3	1	3	3
5	2	1.25	6	11	2	0	2	3	1	1
4	3	2.6	3.1	2.9	0	0	0	0	0	2
2	0	1.57	4.2	6.5	1	1	0	2	1	1
8	2	2.05	3.25	4.33	0	0	0	1	0	1
3	4	2.45	3.1	3.4	0	0	0	1	1	2
1	2	1.7	4	5.5	2	1	1	4	1	1
1	1	2.38	3.25	3.4	1	2	-1	1	2	3
4	4	2.3	3.2	3.6	1	1	0	1	2	3
3	2	4.6	3.75	1.85	0	1	-1	0	4	3
2	1	1.91	3.6	4.5	2	2	0	2	4	3
1	8	5.75	4	1.67	0	1	-1	2	2	2
1	2	3.8	3.5	2.1	0	0	0	0	3	3
5	2	2.25	3.5	3.4	0	2	-2	1	2	3
3	3	1.67	3.8	6	3	1	2	3	1	1
2	3	6	4.2	1.6	0	1	-1	1	4	3
3	1	1.5	4.33	8	1	0	1	3	0	1
2	2	1.29	6	12	2	0	2	4	0	1
1	3	2.8	3.2	2.8	3	0	3	4	2	1
6	1	2	3.5	4.2	2	0	2	4	1	1
3	0	1.7	3.8	5.75	0	0	0	1	0	1
7	0	1.33	5.5	11	0	0	0	1	0	1
0	3	6	4.2	1.62	1	0	1	3	1	1
5	0	2.4	3.5	3.1	3	0	3	3	0	1
4	2	3.6	3.5	2.15	1	0	1	1	0	1
8	0	1.22	7	15	3	0	3	5	1	1
5	3	1.73	3.9	5.25	4	0	4	4	1	1
1	5	3.75	3.5	2.1	0	2	-2	1	2	3
2	3	2.38	3.3	3.3	0	0	0	1	1	2
1	3	2.88	3.25	2.7	1	0	1	2	3	3
0	4	9	5.5	1.36	1	1	0	1	3	3
3	1	2.8	3.3	2.75	0	1	-1	0	3	3
5	1	2.9	3.2	2.7	1	0	1	2	0	1
6	3	1.73	4	5	1	0	1	1	1	2
4	3	7.5	4.5	1.5	0	0	0	0	2	3
4	4	2.5	3.25	3.2	0	1	-1	1	1	2
1	4	8	4.75	1.45	1	0	1	1	2	3
1	2	2.38	3.3	3.3	0	1	-1	2	2	2
2	2	2.25	3.4	3.5	0	0	0	1	1	2
0	2	9	5	1.4	0	0	0	0	1	3
2	3	2.25	3.4	3.5	0	0	0	0	0	2
4	1	1.33	5.75	10	0	0	0	1	1	2
2	1	3	3.5	2.5	2	0	2	2	0	1
5	1	1.29	6.5	11	2	1	1	3	2	1
1	1	1.85	3.5	5	3	1	2	6	1	1
5	2	1.57	4.5	6	2	0	2	3	0	1
3	5	2.15	3.5	3.6	0	1	-1	0	1	3
6	0	1.5	4.75	7	0	0	0	1	1	2
2	4	2	3.6	4	2	0	2	2	0	1
0	5	5.5	3.8	1.73	0	0	0	1	1	2
1	4	2.25	3.3	3.6	0	0	0	0	1	3
4	0	1.4	4.8	9.5	0	0	0	3	1	1
1	0	2.2	3.5	3.5	0	0	0	0	0	2
6	1	1.25	6.5	15	0	0	0	0	0	2
5	2	4.2	3.6	1.95	0	0	0	0	0	2
1	3	6	3.8	1.67	1	0	1	2	1	1
4	4	3.1	3.3	2.5	0	1	-1	0	2	3
3	1	2.05	3.5	3.9	1	0	1	3	1	1
0	0	1.29	6	13	2	0	2	2	1	1
3	2	2.38	3.3	3.3	0	0	0	0	0	2
4	0	1.67	4	5.75	0	0	0	1	0	1
4	3	2.15	3.4	3.8	2	0	2	4	0	1
3	2	1.5	4.5	7.5	0	1	-1	1	1	2
0	3	5.25	4	1.7	2	3	-1	2	4	3
10	1	1.2	7	19	0	0	0	0	0	2
2	4	2.5	3.2	3.2	1	0	1	2	0	1
0	3	9	5	1.4	0	1	-1	1	4	3
4	1	1.62	4.2	6	1	0	1	1	1	2
5	0	1.75	3.75	5.25	0	0	0	1	0	1
0	4	8	4.75	1.44	0	2	-2	0	4	3
5	2	1.8	3.8	4.75	0	0	0	2	0	1
6	1	3.2	3.4	2.4	0	1	-1	0	2	3
3	2	2.05	3.6	3.8	1	1	0	3	1	1
2	1	1.65	4.2	5.5	1	1	0	1	2	3
2	4	3.3	3.3	2.38	2	0	2	3	2	1
2	0	1.53	4.33	7	3	0	3	5	0	1
8	0	1.22	7	15	1	0	1	1	1	2
2	1	2	3.6	4	0	0	0	1	1	2
1	0	1.95	3.6	4.2	1	0	1	1	1	2
0	2	5.75	3.8	1.7	0	1	-1	2	1	1
1	1	1.8	3.6	5.25	0	0	0	1	2	3
4	0	1.29	6	12	3	0	3	6	1	1
0	0	5	4	1.73	0	3	-3	1	3	3
0	2	6.5	4.5	1.53	0	1	-1	1	2	3
