2.2	3.2	3.5	1	1	0	1	2	3
2.2	3.2	3.5	0	0	0	0	0	2
1.57	3.6	7	1	0	1	1	1	2
3.75	3.25	2.1	0	0	0	0	0	2
2.4	3.25	3	0	1	-1	0	4	3
2.2	3.2	3.5	1	1	0	1	1	2
5.5	3.5	1.7	0	0	0	0	0	2
6.5	4	1.53	1	1	0	1	2	3
1.29	5	13	0	0	0	4	0	1
2.5	3.25	2.9	0	0	0	0	2	3
1.73	3.4	5.5	2	0	2	3	1	1
1.3	5.5	10	0	1	-1	2	1	1
1.53	3.8	7	0	1	-1	0	1	3
2.2	3.25	3.4	0	0	0	0	1	3
2.1	3.3	3.6	0	0	0	0	0	2
4.75	3.5	1.8	1	2	-1	2	3	3
2.6	3.3	2.75	1	0	1	1	1	2
2.38	3.25	3.1	2	0	2	2	0	1
1.67	3.75	5.5	0	0	0	3	0	1
2.1	3.25	3.75	0	0	0	0	0	2
3.3	3.25	2.25	0	0	0	0	1	3
1.2	6.5	15	1	0	1	3	1	1
1.4	4.5	8.5	1	0	1	3	1	1
2.38	3.3	3	0	0	0	0	0	2
2.25	3.3	3.25	1	0	1	2	0	1
1.5	4.33	6.5	3	1	2	8	2	1
2.1	3.25	3.75	0	0	0	2	1	1
2.88	3.3	2.5	0	2	-2	1	5	3
2.1	3.25	3.75	0	0	0	0	1	3
1.36	4.75	9	1	0	1	1	0	1
9	4.5	1.4	0	3	-3	0	5	3
2	3.4	3.8	1	0	1	2	2	2
1.17	7	17	1	0	1	3	0	1
3.25	3.3	2.25	1	0	1	1	0	1
5	3.75	1.7	0	1	-1	1	2	3
3	3.25	2.4	0	0	0	0	2	3
1.67	3.6	5.5	1	1	0	1	1	2
2.5	3.25	2.88	0	1	-1	0	1	3
2.4	3.25	3	0	0	0	0	0	2
1.91	3.4	4.2	1	0	1	1	1	2
4.2	3.4	1.91	1	2	-1	4	3	1
1.8	3.6	4.6	0	2	-2	1	2	3
1.5	4	7	1	1	0	3	1	1
2.63	3.2	2.75	2	0	2	3	0	1
1.91	3.4	4.2	0	2	-2	0	3	3
6.5	3.8	1.57	0	1	-1	2	2	2
1.83	3.5	4.5	3	0	3	3	1	1
2.4	3.2	3.1	3	0	3	4	0	1
2.63	3.4	2.63	1	0	1	4	0	1
1.44	4.5	7	0	0	0	3	0	1
1.2	6.5	15	2	0	2	4	1	1
1.36	4.5	10	2	0	2	2	1	1
1.44	4.33	7.5	0	0	0	2	0	1
1.83	3.5	4.5	2	1	1	3	1	1
6.5	4	1.53	0	1	-1	1	1	2
2.3	3.25	3.25	0	0	0	0	0	2
4	3.5	1.91	0	2	-2	1	2	3
2.3	3.25	3.2	0	0	0	1	1	2
2.5	3.4	2.8	1	0	1	2	1	1
1.62	3.75	6	1	0	1	2	0	1
6.5	3.75	1.57	0	0	0	0	4	3
3.1	3.2	2.4	0	0	0	0	2	3
1.17	7	17	0	0	0	2	0	1
2.25	3.4	3.2	2	2	0	2	2	2
2.5	3.25	2.88	0	2	-2	1	2	3
6.5	4	1.53	0	4	-4	1	5	3
2	3.3	4	3	0	3	6	0	1
2.63	3.25	2.75	1	0	1	2	0	1
2.1	3.4	3.5	1	0	1	2	1	1
1.36	4.5	10	2	0	2	3	1	1
3	3.3	2.4	0	0	0	1	1	2
1.33	5	10	1	0	1	4	1	1
2.2	3.3	3.4	2	1	1	3	1	1
1.83	3.5	4.5	1	1	0	1	1	2
2.2	3.2	3.5	0	0	0	2	0	1
2.3	3.3	3.2	1	2	-1	1	3	3
1.44	4.33	7.5	1	1	0	2	1	1
3	3.3	2.4	0	1	-1	2	2	2
2	3.3	4	1	0	1	2	0	1
2	3.3	4	1	1	0	1	2	3
2.2	3.2	3.5	0	0	0	0	2	3
1.29	5.5	11	1	0	1	1	1	2
1.57	3.8	6.5	0	0	0	1	0	1
2	3.4	3.8	0	2	-2	2	2	2
1.53	4	6.5	1	1	0	3	1	1
4	3.5	1.91	1	1	0	1	2	3
2.25	3.25	3.3	0	1	-1	1	3	3
2	3.4	3.8	0	1	-1	1	6	3
9.5	5	1.33	1	0	1	1	0	1
1.62	4	5.5	2	1	1	3	5	3
4.5	3.6	1.8	0	1	-1	0	1	3
1.17	7	19	0	0	0	3	1	1
1.91	3.6	4	0	1	-1	3	3	2
