League	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	1.95	3.4	4	0	0	0	1	0	1
1	2.25	3.25	3.3	0	0	0	0	0	2
1	1.44	4.5	7	0	0	0	0	0	2
1	2.5	3.4	2.75	1	1	0	1	1	2
1	1.22	6.5	12	1	0	1	1	0	1
1	2	3.4	3.8	1	1	0	1	1	2
1	1.91	3.4	4.2	0	0	0	2	1	1
1	2.3	3.4	3.1	3	1	2	3	1	1
1	2.4	3.4	2.88	2	0	2	2	1	1
1	6	4.2	1.53	0	0	0	0	2	3
1	1.44	4.5	7	0	0	0	0	2	3
1	2.88	3.3	2.5	0	0	0	0	3	3
1	1.4	4.5	8.5	1	0	1	1	0	1
1	1.5	4	7	1	1	0	1	1	2
1	1.95	3.5	4	1	1	0	1	1	2
1	7.5	4.75	1.4	3	4	-1	3	4	3
1	2.1	3.25	3.75	0	0	0	0	1	3
1	4	3.5	1.91	0	1	-1	3	1	1
1	2.1	3.3	3.6	2	1	1	2	1	1
1	2	3.4	3.75	2	0	2	3	0	1
1	1.5	4.33	6.5	1	0	1	2	0	1
1	2.4	3.2	3.1	0	0	0	0	0	2
1	1.91	3.6	4	0	0	0	1	0	1
1	4.75	3.5	1.8	0	2	-2	1	3	3
1	1.8	3.6	4.5	0	3	-3	3	4	3
1	2.3	3.4	3.1	1	1	0	2	2	2
1	2	3.5	3.75	0	0	0	2	1	1
1	2.2	3.5	3.2	0	2	-2	2	3	3
1	3	3.3	2.38	2	1	1	2	3	3
1	1.91	3.6	4	1	0	1	2	1	1
1	2	3.5	3.75	2	0	2	3	0	1
1	1.36	4.75	9	0	2	-2	1	3	3
1	1.2	6.5	15	2	0	2	3	1	1
1	5.5	3.75	1.67	0	2	-2	1	3	3
1	2.2	3.4	3.25	1	0	1	2	1	1
1	2.4	3.4	2.88	0	0	0	2	1	1
1	3.1	3.2	2.4	0	1	-1	1	1	2
1	1.62	4	5.5	0	0	0	1	0	1
1	2	3.5	3.75	0	0	0	0	0	2
1	5.5	4	1.62	0	3	-3	2	5	3
1	1.53	4	6.5	2	0	2	4	0	1
1	1.14	8	19	0	0	0	1	0	1
1	2.1	3.4	3.5	0	0	0	1	0	1
1	2	3.5	3.75	0	1	-1	0	1	3
1	1.62	3.75	6	0	0	0	0	0	2
1	1.91	3.6	4	1	1	0	2	1	1
1	2.88	3.25	2.5	1	0	1	1	2	3
1	4.75	3.75	1.73	0	0	0	0	1	3
1	1.33	5.5	8.5	3	0	3	8	0	1
1	5	4	1.67	1	1	0	1	1	2
1	3.75	3.5	2	0	0	0	0	4	3
1	1.44	4.5	7	0	0	0	2	1	1
1	1.85	3.6	4.2	1	0	1	1	1	2
1	1.22	6.5	13	1	2	-1	4	3	1
1	6	3.75	1.62	0	1	-1	0	1	3
1	2.2	3.4	3.25	0	1	-1	1	2	3
1	2.9	3.4	2.38	0	0	0	0	0	2
1	3.4	3.2	2.25	2	1	1	3	1	1
1	6.5	4	1.53	0	0	0	1	0	1
1	1.44	4.5	7	1	1	0	7	3	1
1	2.4	3.25	3	0	1	-1	0	3	3
1	2.1	3.4	3.5	0	1	-1	1	2	3
