HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
0	4	4	3.5	1.95	0	1	-1	2	1	1
3	0	1.75	3.6	5	1	1	0	3	1	1
2	4	5	3.75	1.73	0	0	0	0	2	3
4	3	3.9	3.4	2	0	1	-1	0	4	3
1	1	1.7	3.8	5	1	0	1	3	1	1
0	5	2.8	3.2	2.6	1	0	1	2	2	2
3	0	2.05	3.4	3.75	0	0	0	3	2	1
0	4	3.8	3.3	2.05	1	1	0	1	4	3
4	0	1.73	3.6	5.25	2	0	2	2	1	1
4	3	3	3.2	2.5	0	1	-1	0	2	3
2	1	2.38	3.4	3	1	0	1	2	1	1
1	2	3.3	3.4	2.2	1	0	1	1	1	2
1	2	6	3.75	1.62	3	0	3	3	1	1
3	2	5.5	4	1.62	0	1	-1	0	1	3
3	4	1.2	7.5	12	2	0	2	3	2	1
3	2	2	3.4	3.9	3	1	2	4	2	1
5	1	1.25	6	12	1	0	1	1	1	2
2	3	1.75	3.75	4.75	2	0	2	3	0	1
3	4	1.4	4.5	9	2	0	2	3	1	1
3	2	1.29	5.5	11	1	0	1	2	1	1
3	2	2.9	3.4	2.4	0	0	0	0	2	3
5	2	1.33	5	10	1	1	0	2	1	1
2	2	2.38	3.4	3	0	1	-1	1	1	2
3	1	2.75	3.25	2.63	0	0	0	2	0	1
0	3	1.83	3.4	4.75	2	0	2	3	0	1
2	2	2.5	3.1	3.1	0	0	0	0	0	2
3	0	2	3.2	4.2	0	0	0	1	0	1
1	2	2.63	3.25	2.8	1	0	1	2	1	1
1	4	3	3.4	2.38	0	2	-2	1	2	3
6	0	1.75	3.6	5	0	1	-1	1	3	3
2	1	2.1	3.25	3.8	0	0	0	0	0	2
1	6	6	4.33	1.53	0	2	-2	0	5	3
2	2	1.67	3.75	5.5	1	0	1	2	0	1
3	1	2.9	3.1	2.6	0	1	-1	0	2	3
0	2	4.33	3.6	1.85	1	1	0	1	3	3
0	3	1.62	4	5.5	2	0	2	2	1	1
5	2	1.62	4.2	5.25	0	0	0	1	0	1
1	1	2.6	3.2	2.8	1	0	1	1	0	1
3	1	2.05	3.25	3.75	1	0	1	2	0	1
4	2	1.7	3.6	5	1	0	1	1	0	1
2	0	1.95	3.4	3.9	0	0	0	0	0	2
1	3	2.2	3.25	3.3	2	0	2	2	1	1
1	1	1.57	3.75	6	1	1	0	3	4	3
3	0	2	3.4	3.75	2	0	2	3	1	1
3	1	1.45	4.2	7.5	3	0	3	5	3	1
0	4	2.4	3	3.2	0	2	-2	0	3	3
1	5	3.4	3.6	2.05	0	0	0	0	1	3
2	3	1.57	3.8	6	1	0	1	2	0	1
7	0	1.53	3.9	7	0	0	0	2	1	1
2	2	2.15	3.5	3.3	0	0	0	3	0	1
2	1	2.5	3.4	2.8	1	2	-1	4	3	1
2	0	3.5	3.5	2.1	0	1	-1	3	3	2
0	1	2.2	3.3	3.4	1	0	1	1	1	2
5	0	1.33	5.5	8	1	1	0	3	1	1
5	2	2.2	3.4	3.3	0	0	0	0	0	2
4	9	1.83	3.6	4.5	0	0	0	1	0	1
6	0	2.05	3.3	3.8	0	0	0	1	0	1
2	1	1.29	5.5	10	0	1	-1	2	1	1
1	2	2.75	3.2	2.7	0	3	-3	1	4	3
1	3	3.8	3.6	1.95	0	1	-1	0	1	3
5	0	1.18	7	17	2	0	2	3	0	1
6	0	1.29	5.25	12	0	0	0	1	0	1
7	3	1.4	4.75	8	0	0	0	1	0	1
0	3	2.7	3.4	2.6	0	0	0	0	0	2
2	4	3.75	3.5	2	1	1	0	1	2	3
2	1	3	3	2.6	0	0	0	0	1	3
9	1	1.44	4.33	8	0	1	-1	3	1	1
2	5	2.8	3.4	2.5	2	1	1	4	1	1
2	3	4.75	3.4	1.83	1	0	1	2	1	1
3	1	2	3.4	3.9	1	1	0	2	1	1
2	0	1.14	8	19	0	0	0	3	1	1
2	3	1.75	3.5	5.25	0	0	0	0	0	2
5	2	1.73	3.6	5.25	2	1	1	4	1	1
3	3	4.2	3.5	1.91	0	1	-1	0	1	3
3	3	2.38	3.3	3.1	2	0	2	2	2	2
1	5	3.4	3.25	2.25	0	1	-1	0	3	3
1	0	4	3.3	2	1	2	-1	1	2	3
2	3	1.67	3.75	5.5	0	0	0	1	0	1
1	6	2.9	3.3	2.5	1	0	1	2	0	1
3	3	2.6	3.2	2.8	0	0	0	1	0	1
2	5	1.57	4	6	1	0	1	2	2	2
0	2	1.5	4.2	7	2	0	2	2	0	1
4	6	6.5	4	1.55	0	0	0	0	1	3
1	4	2.9	3.3	2.5	0	1	-1	1	3	3
3	0	1.25	6.5	11	0	0	0	1	0	1
7	0	1.2	7	13	2	0	2	3	0	1
7	1	1.5	4	7.5	0	0	0	0	1	3
0	2	2.45	3.25	3	0	0	0	1	1	2
4	0	2.38	3.1	3.25	1	1	0	4	1	1
1	0	1.62	4	5.5	1	0	1	3	3	2
4	1	1.13	9	21	0	1	-1	1	1	2
5	1	4.75	3.8	1.75	1	1	0	3	2	1
3	3	6.5	4.33	1.5	0	2	-2	0	2	3
2	5	2.4	3.25	3.1	1	0	1	1	1	2
1	1	3.2	3.3	2.3	1	1	0	2	1	1
1	7	4.5	3.6	1.83	1	0	1	1	2	3
2	0	7.5	4.5	1.44	1	4	-3	1	7	3
1	1	1.44	4.33	8	2	0	2	2	0	1
2	3	2.38	3.2	3.2	0	0	0	0	0	2
2	1	3.6	3.3	2.15	1	1	0	1	1	2
5	5	2.05	3.4	3.75	0	1	-1	0	1	3
2	5	1.57	4	6.5	1	0	1	1	0	1
4	2	1.67	4	5	0	0	0	0	1	3
1	0	2.3	3.25	3.3	1	0	1	1	0	1
1	3	6	3.9	1.57	2	2	0	2	6	3
3	3	1.62	4	5.5	1	0	1	4	0	1
4	7	3.4	3.25	2.25	0	0	0	0	1	3
0	0	13	6	1.22	0	0	0	0	2	3
8	3	1.29	5.75	10	0	0	0	2	0	1
3	1	1.67	3.8	5.25	1	0	1	3	0	1
2	0	10	5	1.33	0	1	-1	0	2	3
2	2	8.5	5	1.36	0	1	-1	0	2	3
8	0	1.33	5	10	1	0	1	2	0	1
3	2	5	3.6	1.75	1	2	-1	1	3	3
2	2	1.91	3.5	4.2	0	1	-1	3	1	1
4	1	1.91	3.4	4.33	1	1	0	1	3	3
5	0	1.36	5	8.5	3	0	3	5	3	1
3	5	1.7	3.8	5	1	0	1	1	1	2
2	2	1.14	8	21	2	0	2	4	1	1
1	2	1.25	5.5	15	0	0	0	1	0	1
0	5	5.5	3.75	1.67	0	0	0	1	2	3
0	3	4.75	3.5	1.8	0	0	0	0	1	3
1	4	8.5	4.2	1.44	0	2	-2	1	3	3
2	7	2.15	3.3	3.5	2	1	1	2	1	1
2	1	3.5	3.4	2.1	3	0	3	5	0	1
2	3	1.44	4.5	7.5	2	0	2	4	1	1
